Date,Open,High,Low,Close,Volume
09/04/2015,629.7,634.5,626.5,628.96,2004598
09/03/2015,647.93,651.25,633.8073,637.05,1714929
09/02/2015,638.64,645,630.64,644.91,1647629
09/01/2015,633.66,644.44,625.06,629.56,2523698
08/31/2015,656.26,664.41,646.35,647.82,1946844
08/28/2015,665.11,667,653.75,659.69,1897554
08/27/2015,672,673.9799,651.1,667.96,2847568
08/26/2015,643.1,662.48,630.37,659.74,3951871
08/25/2015,646.4675,647,618.05,626.37,3066632
08/24/2015,600.6,644.33,593.09,620.58,5028042
08/21/2015,671.04,672.89,645.5,645.87,3748604
08/20/2015,689.1,696.16,675.2801,679.48,2662321
08/19/2015,690.11,700.2,686.8,694.04,2495971
08/18/2015,691.07,695.7568,685.32,688.73,1372673
08/17/2015,688.04,694.74,683.06,694.11,1226144
08/14/2015,684.04,692.26,682.9,689.37,1370033
08/13/2015,689.2,694.03,682.18,686.51,1799804
08/12/2015,694.49,696,680.51,691.47,2876744
08/11/2015,699.58,704,684.32,690.3,5245775
08/10/2015,667.09,671.62,660.23,663.14,1386410
08/07/2015,667.78,668.795,658.87,664.39,1365883
08/06/2015,673.99,674.75,660.73,670.15,2004347
08/05/2015,665.75,679.91,665.5827,673.29,1812589
08/04/2015,664.34,668,660.51,661.28,1290892
08/03/2015,657.66,666.67,657.66,664.72,1557354
07/31/2015,664.7,664.9999,657.2,657.5,1700175
07/30/2015,657.44,668.05,651.69,664.56,1962926
07/29/2015,662.26,663.33,652.84,661.43,1784482
07/28/2015,661.76,664.1,653.41,659.66,1684105
07/27/2015,651.57,667.07,651.55,658.27,2722151
07/24/2015,676.77,677.79,653.18,654.77,3880891
07/23/2015,691.85,696.07,671.59,674.73,3698707
07/22/2015,694.02,713.33,691.62,695.1,4114199
07/21/2015,684.88,705.6,684.15,695.35,3729129
07/20/2015,688.98,697.8,681.77,692.84,4514490
07/17/2015,680,703,678,699.62,12807881
07/16/2015,589.5,604.5,604.5,601.78,3962373
07/15/2015,583.74,588.69,580.21,583.96,2035758
07/14/2015,574.5,589.7087,574.17,584.18,3691472
07/10/2015,553.71,559.29,552,556.11,2146574
07/09/2015,548.65,548.88,544.62,544.65,1477666
07/08/2015,545.6,548.28,541.2,541.7,1361277
07/07/2015,547.43,551,539.85,550.03,1664103
07/06/2015,542.25,548.58,542.095,545.62,1270969
07/02/2015,544.74,548,543.57,547.34,1390383
07/01/2015,543.66,545.81,539.76,543.3,1517315
06/30/2015,545.09,545.9,539.54,540.04,1893297
06/29/2015,546.75,550.9,540.24,541.25,1874970
06/26/2015,559.71,560,551.85,553.06,1884151
06/25/2015,560.3,563.14,557.455,557.95,1321577
06/24/2015,562.48,562.64,556.81,558.57,1419650
06/23/2015,559.79,564.9,557.15,563.39,1520989
06/22/2015,559.41,565.61,558.91,559.68,1707476
06/19/2015,556.52,557.91,552.258,557.52,2718516
06/18/2015,548,557.25,548,556.18,2029974
06/17/2015,545.42,548.36,541.81,546.6,1200579
06/16/2015,544.48,546.69,541.5724,544.87,1609765
06/15/2015,542.73,544.05,539.21,543,1342249
06/12/2015,547.15,548.85,545.63,547.47,1273383
06/11/2015,554.49,554.83,549.17,550.04,1293560
06/10/2015,545.7,554.78,545.11,552.6,1515805
06/09/2015,543.42,544.84,538.8506,542.16,1500846
06/08/2015,549.61,549.87,542.95,543.48,1345487
06/05/2015,552,553.33,547.384,549.53,1212404
06/04/2015,552.18,555.96,549.12,551.69,1065166
06/03/2015,555.1,557.99,552.15,555.29,1311500
06/02/2015,547.43,558.79,546.55,553.95,1590245
06/01/2015,548.73,550.57,543.58,549.21,1626572
05/29/2015,553.2,553.94,545.04,545.32,2096529
05/28/2015,553.79,555.76,550.8,554.18,1162921
05/27/2015,548.68,555.29,546.5813,554.25,1724389
05/26/2015,552.58,553.3305,542.97,547.19,1859291
05/22/2015,554.46,558.24,553.62,554.52,1184816
05/21/2015,550.2,557.61,549.301,556.81,1682771
05/20/2015,550.92,556.065,545.1,552.51,1524428
05/19/2015,548,553.4,547.12,549.28,2344494
05/18/2015,543.82,548.34,542.25,546.67,1242389
05/15/2015,550.39,550.6,542.5,546.49,1657706
05/14/2015,543.97,549.69,542.5,549.2,1586833
05/13/2015,540.47,543.84,538.98,539.74,1190432
05/12/2015,542.81,542.961,535,538.73,1764123
05/11/2015,548.49,553.3699,545.6,545.78,1092923
05/08/2015,548.87,552.8,548.03,548.95,1411264
05/07/2015,535.9,545.2,533.45,542.04,1592220
05/06/2015,542.64,543.93,532.235,535.08,1951728
05/05/2015,550.16,552.61,542.37,543.045,1426417
05/04/2015,550.99,556.69,547.39,552.84,1762952
05/01/2015,550.51,551.22,543.85,551.16,1713503
04/30/2015,558.56,561.11,546.72,548.77,2322032
04/29/2015,560.51,565.84,559,561.39,1669390
04/28/2015,564.32,567.83,560.96,564.37,1843018
04/27/2015,572.77,575.52,562.3,566.12,2383492
04/24/2015,580.05,584.7,568.35,573.66,4578940
04/23/2015,550.41,561.17,550.08,557.46,3170478
04/22/2015,543.06,551,541.32,549.18,1570258
04/21/2015,546.31,547.7745,542.21,542.925,1442266
04/20/2015,533.75,545.8,533.35,544.53,1910594
04/17/2015,537.31,539.8,529,532.74,2440997
04/16/2015,538.35,545.229,538.1,543.52,1571030
04/15/2015,537.96,543.19,532.37,541.04,2337796
04/14/2015,546.57,546.57,535.74,539.78,2342596
04/13/2015,547.05,553.27,546.3,548.64,1451169
04/10/2015,549.57,549.85,544.98,548.54,1282347
04/09/2015,549.21,549.37,541.951,548.02,1609901
04/08/2015,546,551.5,546,548.84,1385017
04/07/2015,544.99,550.16,543.585,544.86,1351557
04/06/2015,538.84,545.54,535.7,543.95,1681225
04/02/2015,547.41,548,540.44,541.31,2359320
04/01/2015,554.83,558.5,546.03,549.49,1925379
03/31/2015,557.94,562.45,554.67,554.7,1709723
03/30/2015,560.25,562.16,556.79,561.135,1222401
03/27/2015,561.83,564.066,556.93,557.55,1709075
03/26/2015,564.65,567.19,558.31,563.64,2458419
03/25/2015,577.57,580.07,567,567,2592727
03/24/2015,568.54,581.88,568.09,577.54,3933147
03/23/2015,566,569.6399,563.06,565.37,1497254
03/20/2015,566.71,567.1,564.48,564.95,2080126
03/19/2015,564.52,566.96,562.12,563.67,1223609
03/18/2015,557.73,566.51,553.5,566.16,1744483
03/17/2015,558.29,560.64,554.41,557.61,1431263
